County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County
King,Mercer Island,WA,98040,2013,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,41,251737118,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302,-122.2371867,47.5822997
King,Normandy Park,WA,98166,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,228470294,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600,-122.34102,47.46593
King,Shoreline,WA,98133,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,32,219616757,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020302,-122.34584,47.76726
King,Seattle,WA,98101,2022,KIA,NIRO,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,190453364,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202,-122.335345,47.61079
King,Kent,WA,98031,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,236001160,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029408,-122.2012521,47.3931814
King,Kirkland,WA,98034,2016,KIA,SOUL,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,93,31950,1,220482937,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300,-122.209285,47.71124
King,Federal Way,WA,98003,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,30,200788437,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030005,-122.31327,47.32309
Clark,Battle Ground,WA,98604,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,18,236262211,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040414,-122.53218,45.77945
Pierce,Anderson Island,WA,98303,2014,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,28,205599467,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072603,-122.68607,47.158295
King,Bellevue,WA,98007,2012,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,265,59900,48,6174472,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300,-122.147385,47.599975
Kitsap,Port Orchard,WA,98367,2022,KIA,NIRO,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,26,179820637,PUGET SOUND ENERGY INC,53035092101,-122.6851642,47.506453
King,Bellevue,WA,98007,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,194319205,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022805,-122.147385,47.599975
King,Duvall,WA,98019,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,45,215139956,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401,-121.9810747,47.7377962
King,Woodinville,WA,98072,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,125,0,45,248338604,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326,-122.151665,47.75855
King,Bellevue,WA,98008,2014,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,48,184076147,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403,-122.11832,47.6245
King,Seattle,WA,98177,2019,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,17,0,36,326903881,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001600,-122.382425,47.77279
Snohomish,Bothell,WA,98021,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,1,474781310,PUGET SOUND ENERGY INC,53061051916,-122.179458,47.802589
Pierce,Bonney Lake,WA,98391,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,31,129025963,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208,-122.183805,47.18062
Jefferson,Port Townsend,WA,98368,2020,HYUNDAI,KONA,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,258,0,24,124499434,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950604,-122.7644197,48.1195874
Kitsap,Bremerton,WA,98312,2023,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,37,0,35,240311508,PUGET SOUND ENERGY INC,53035080900,-122.65223,47.57192
King,Shoreline,WA,98155,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,32,236231600,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020401,-122.3175,47.7578146
King,Kirkland,WA,98034,2015,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,45,177738340,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904,-122.209285,47.71124
King,Federal Way,WA,98023,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,30,227210399,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030309,-122.36363,47.30675
King,Seattle,WA,98118,2016,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,37,172663291,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010102,-122.28339,47.549285
Clark,Vancouver,WA,98686,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,49,104383268,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040803,-122.6483953,45.7010427
Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,293,0,39,2042435,PUGET SOUND ENERGY INC,53061053505,-122.112065,48.004345
Pierce,Tacoma,WA,98422,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,27,196642162,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053940002,-122.38578,47.28971
Snohomish,Bothell,WA,98012,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,219180867,PUGET SOUND ENERGY INC,53061052009,-122.1873,47.820245
Island,Oak Harbor,WA,98277,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,10,311657657,PUGET SOUND ENERGY INC,53029970500,-122.6788673,48.2897314
Thurston,Olympia,WA,98513,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,2,138464049,PUGET SOUND ENERGY INC,53067012332,-122.817545,46.98876
King,Newcastle,WA,98056,2022,BMW,IX,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,202127635,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024704,-122.180505,47.500055
King,Seatac,WA,98168,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,161518850,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300,-122.28646,47.47613
King,Sammamish,WA,98074,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,180376010,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318,-122.0313266,47.6285782
King,Tukwila,WA,98188,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,228471631,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
King,Sammamish,WA,98074,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,208516206,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032316,-122.0313266,47.6285782
Spokane,Spokane,WA,99203,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,6,176424090,MODERN ELECTRIC WATER COMPANY,53063004300,-117.425265,47.635365
Snohomish,Mill Creek,WA,98012,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,44,234261562,PUGET SOUND ENERGY INC,53061052004,-122.1873,47.820245
Clark,Camas,WA,98607,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,177661886,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040609,-122.405565,45.59009
King,Bellevue,WA,98007,2023,SUBARU,SOLTERRA,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,229940567,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604,-122.147385,47.599975
King,Seatac,WA,98148,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,211674669,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
Island,Oak Harbor,WA,98277,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,10,474381316,PUGET SOUND ENERGY INC,53029970500,-122.6788673,48.2897314
Clark,Vancouver,WA,98685,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,235062306,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040909,-122.70302,45.703706
King,Bellevue,WA,98005,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,41,289254479,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601,-122.16085,47.624515
King,Bellevue,WA,98007,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,240659730,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604,-122.147385,47.599975
King,Seattle,WA,98125,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,204864481,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001202,-122.296385,47.71558
King,Woodinville,WA,98072,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,45,110861068,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032320,-122.151665,47.75855
Snohomish,Gold Bar,WA,98251,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,39,180940567,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053803,-121.69427,47.858175
Okanogan,Mazama,WA,98833,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,12,476089673,"OKANOGAN COUNTY ELEC COOP, INC",53047970900,-120.405315,48.59203
Skagit,Anacortes,WA,98221,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,40,142029702,PUGET SOUND ENERGY INC,53057940401,-122.615305,48.501275
Clark,Vancouver,WA,98683,2015,CHEVROLET,SPARK,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,82,0,17,195959144,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041323,-122.4853873,45.6083347
King,Bellevue,WA,98005,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,33,0,41,120715486,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023601,-122.16085,47.624515
King,Kirkland,WA,98034,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,125,0,45,3386610,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021905,-122.209285,47.71124
King,Auburn,WA,98092,2023,KIA,EV6,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,233174084,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031207,-122.1820969,47.3198995
King,Bellevue,WA,98006,2018,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,151,0,41,127372528,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024701,-122.16937,47.571015
Spokane,Colbert,WA,99208,2022,AUDI,E-TRON,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,7,196781294,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010303,-117.40725,47.718625
King,Bellevue,WA,98008,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,48,144458184,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023202,-122.11832,47.6245
Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,44,474667399,PUGET SOUND ENERGY INC,53061052302,-122.091505,47.915555
King,Bellevue,WA,98004,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,176412694,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024001,-122.201905,47.61385
Clark,Vancouver,WA,98685,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,227142023,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040907,-122.70302,45.703706
Snohomish,Marysville,WA,98271,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,38,211394473,PUGET SOUND ENERGY INC,53061052803,-122.1713847,48.10433
King,Sammamish,WA,98075,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,139986388,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032216,-122.03309,47.58153
Whatcom,Bellingham,WA,98225,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,40,121786430,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073001203,-122.486115,48.761615
King,Seattle,WA,98115,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,259,0,43,106398309,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003602,-122.3185,47.67949
King,Seattle,WA,98119,2013,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,36,240634544,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007001,-122.363815,47.63046
King,Woodinville,WA,98072,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,64950,45,348976729,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032320,-122.151665,47.75855
King,Seattle,WA,98122,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,37,152419823,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800,-122.30839,47.610365
Clark,Vancouver,WA,98664,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,42,0,49,148328211,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041205,-122.589388,45.6228731
King,Shoreline,WA,98177,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,32,104523562,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020200,-122.382425,47.77279
Clark,Vancouver,WA,98682,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,17,213605276,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041333,-122.5146473,45.67862
King,Kirkland,WA,98034,2019,JAGUAR,I-PACE,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,234,0,1,192598472,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300,-122.209285,47.71124
Thurston,Tenino,WA,98589,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,35,157715015,PUGET SOUND ENERGY INC,53067012610,-122.853421,46.8553318
King,Kenmore,WA,98028,2014,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,46,110188067,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101,-122.2504747,47.7617128
Snohomish,Mill Creek,WA,98012,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,29,0,44,241942410,PUGET SOUND ENERGY INC,53061052005,-122.1873,47.820245
Pierce,Puyallup,WA,98375,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,2,190059271,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073126,-122.3085456,47.1042426
King,Seatac,WA,98148,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,200596651,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
Snohomish,Bothell,WA,98021,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,152025324,PUGET SOUND ENERGY INC,53061051918,-122.179458,47.802589
Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,21,238281081,PUGET SOUND ENERGY INC,53061051922,-122.1873,47.820245
King,Kenmore,WA,98028,2014,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,46,162345438,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101,-122.2504747,47.7617128
King,Seattle,WA,98125,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,202144897,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001202,-122.296385,47.71558
Snohomish,Granite Falls,WA,98252,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,39,131628570,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053606,-121.96994,48.08334
Kitsap,Bremerton,WA,98312,2021,KIA,NIRO,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,35,169305468,PUGET SOUND ENERGY INC,53035080600,-122.65223,47.57192
King,Renton,WA,98055,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,228814183,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805,-122.197,47.43876
King,Covington,WA,98042,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,47,132187513,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031705,-122.111625,47.36078
Snohomish,Bothell,WA,98012,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,33,0,44,342460954,PUGET SOUND ENERGY INC,53061052006,-122.1873,47.820245
Clark,Vancouver,WA,98682,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,17,201092237,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040713,-122.5146473,45.67862
King,Bellevue,WA,98004,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,41,334678382,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801,-122.201905,47.61385
King,Kirkland,WA,98033,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,172384964,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604,-122.20264,47.6785
King,Bellevue,WA,98005,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,180181424,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604,-122.16085,47.624515
Kitsap,Bainbridge Island,WA,98110,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,32,0,23,240773627,NO KNOWN ELECTRIC UTILITY SERVICE,53035090800,-122.5235781,47.6293323
King,Seattle,WA,98199,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,36,185990549,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700,-122.394185,47.639195
Clallam,Sequim,WA,98382,2018,BMW,I3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,114,0,24,179384453,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009002001,-123.09969,48.08137
Snohomish,Bothell,WA,98012,2016,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,1,171895685,PUGET SOUND ENERGY INC,53061052010,-122.1873,47.820245
King,Newcastle,WA,98056,2022,NISSAN,LEAF,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,208506854,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703,-122.180505,47.500055
Pierce,Tacoma,WA,98407,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,27,193716799,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060300,-122.5113356,47.2923828
Clark,Vancouver,WA,98685,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,18,306501667,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040908,-122.70302,45.703706
Clark,Camas,WA,98607,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,18,207112496,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040610,-122.405565,45.59009
Clark,Vancouver,WA,98661,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,49,208756285,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042602,-122.641835,45.638545
King,Sammamish,WA,98074,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,45,475042536,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318,-122.0313266,47.6285782
King,Seattle,WA,98199,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,36,106933018,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700,-122.394185,47.639195
King,Renton,WA,98059,2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,13,0,11,120371716,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031913,-122.15734,47.487175
King,Kirkland,WA,98034,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,238663988,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904,-122.209285,47.71124
Snohomish,Snohomish,WA,98296,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,195229758,PUGET SOUND ENERGY INC,53061052108,-122.15134,47.8851158
King,Sammamish,WA,98075,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,41,121670118,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032218,-122.03309,47.58153
King,Seattle,WA,98101,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,236486386,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302,-122.335345,47.61079
King,Seattle,WA,98115,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,210025175,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002500,-122.3185,47.67949
King,Seattle,WA,98105,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,46,252408138,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004102,-122.319115,47.66132
Clark,Vancouver,WA,98665,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,49,180785237,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041007,-122.66592,45.678565
King,Seattle,WA,98178,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,37,217969657,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011902,-122.234385,47.494545
King,Auburn,WA,98092,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,47,228771665,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602,-122.1820969,47.3198995
King,Lake Forest Park,WA,98155,2020,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,330,0,46,112853737,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021500,-122.3175,47.7578146
Thurston,Yelm,WA,98597,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,2,228124186,PUGET SOUND ENERGY INC,53067012532,-122.61023,46.94126
Island,Coupeville,WA,98239,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,10,224028304,PUGET SOUND ENERGY INC,53029971100,-122.681275,48.21784
Kitsap,Port Orchard,WA,98366,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,26,349145317,PUGET SOUND ENERGY INC,53035092500,-122.639265,47.5373
King,Burien,WA,98146,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,34,185358785,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700,-122.355145,47.505655
